N°,ZONA,DISTRITO,PROVINCIA,CANTON,PARROQUIA,TIPO_EDUCACION,AMIE,INSTITUCION,SOSTENIMIENTO,JURISDICCION,REGIMEN,ZONA_INEC,NIVEL_DE_EDUCACION,NRO_NINOS,AUX_ANIO_DOTACION,AUX_T_IE,MD_ANIO_DOTACION,MD_PARALELOS,MD_MONTO_USD,M_ANIO_DOTACION,M_TIPO_DE_AMBIENTE,M_MONTO_USD,JE_ANIO_DOTACION,JE_CANTIDAD,JE_MONTO_USD,AUX_IE_MATERIAL,SAE,REVISION_DNIF,DIMENSIONES,LONGITUD,LATITUD
25,Zona 3,05D01,COTOPAXI,LATACUNGA,TANICUCHI,Ordinario,05H00201,UNIDAD EDUCATIVA MARCO AURELIO SUBIA MARTINEZ - BATALLA DE PANUPALI,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB/Bachillerato,122,2027,1,2027,6,16912.44,2027,6,7560,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-78.637490919,-0.77882722974
26,Zona 3,05D01,COTOPAXI,LATACUNGA,TANICUCHI,Ordinario,05H00210,UNIDAD EDUCATIVA JUAN MANUEL LASSO,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB,64,2027,1,2027,3,8456.22,2027,3,3780,2027.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,4.5 de ancho por 15 metros de largo,-78.6175588053,-0.756718327296
27,Zona 3,05D01,COTOPAXI,LATACUNGA,TOACASO,Ordinario,05H00221,UNIDAD EDUCATIVA TOACASO,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB/Bachillerato,91,2027,1,2027,3,8456.22,2027,3,3780,2027.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,20 X 4 ,-78.6873141899,-0.755244246042
28,Zona 3,05D02,COTOPAXI,LA MANA,EL CARMEN,Ordinario,05H00240,UNIDAD EDUCATIVA  FEDERACION DEPORTIVA DE COTOPAXI,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB/Bachillerato,79,2027,1,2027,4,11274.96,2027,4,5040,2027.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,30m cuadrados,-79.2242870814,-0.939232961017
29,Zona 3,05D02,COTOPAXI,LA MANA,LA MANA,Ordinario,05H00245,UNIDAD EDUCATIVA LA MANA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB/Bachillerato,155,2027,1,2027,7,19731.18,2027,7,8820,2027.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,5 m x 20 m = 100 m,-79.2316057797,-0.942421987098
30,Zona 3,05D02,COTOPAXI,LA MANA,EL TRIUNFO,Ordinario,05H00286,UNIDAD EDUCATIVA DR NESTOR MOGOLLON LOPEZ,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB/Bachillerato,39,2027,1,2027,2,5637.48,2027,2,2520,2027.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,20X15,-79.2705503549,-0.942315070929
31,Zona 3,05D02,COTOPAXI,LA MANA,LA MANA,Ordinario,05H00287,UNIDAD EDUCATIVA NARCISO CERDA MALDONADO,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB/Bachillerato,114,2027,1,2027,5,14093.7,2027,5,6300,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.2258713991,-0.940541016407
32,Zona 3,05D02,COTOPAXI,LA MANA,GUASAGANDA (CAB. EN GUASAGANDA CENTRO),Ordinario,05H00318,UNIDAD EDUCATIVA  GUASAGANDA,FISCAL,Intercultural,COSTA,Rural,Inicial/EGB/Bachillerato,12,2027,1,2027,2,5637.48,2027,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.1566976965,-0.802991491573
33,Zona 3,05D03,COTOPAXI,PANGUA,MORASPUNGO,Ordinario,05H00399,UNIDAD  EDUCATIVA  GUAPARA,FISCAL,Intercultural,COSTA,Rural,Inicial/EGB/Bachillerato,45,2027,1,2027,3,8456.22,2027,3,3780,2027.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,10m x 7m,-79.266265338,-1.10874246317
34,Zona 3,05D04,COTOPAXI,PUJILI,PUJILI,Ordinario,05H00472,UNIDAD EDUCATIVA PUJILI,FISCAL,Intercultural,SIERRA,Urbana,Inicial/EGB/Bachillerato,48,2027,1,2027,2,5637.48,2027,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-78.6985106796,-0.961153338431
