N°,ZONA,DISTRITO,PROVINCIA,CANTON,PARROQUIA,TIPO_EDUCACION,AMIE,INSTITUCION,SOSTENIMIENTO,JURISDICCION,REGIMEN,ZONA_INEC,NIVEL_DE_EDUCACION,NRO_NINOS,AUX_ANIO_DOTACION,AUX_T_IE,MD_ANIO_DOTACION,MD_PARALELOS,MD_MONTO_USD,M_ANIO_DOTACION,M_TIPO_DE_AMBIENTE,M_MONTO_USD,JE_ANIO_DOTACION,JE_CANTIDAD,JE_MONTO_USD,AUX_IE_MATERIAL,SAE,REVISION_DNIF,DIMENSIONES,LONGITUD,LATITUD
439,Zona 5,12D06,LOS RIOS,BUENA FE,PATRICIA PILAR,Ordinario,12H01701,JAPON,FISCAL,Intercultural,COSTA,Rural,Inicial y EGB,30,2026,1,2026,1,2818.74,2026,1,1260,2026.0,1.0,4944.0,ML_Mo_JE,,,20 metros de largo y 7 metros ancho,-79.37113044,-0.572217628396
440,Zona 5,09D17,GUAYAS,MILAGRO,MARISCAL SUCRE (HUAQUES),Ordinario,09H04250,UNIDAD EDUCATIVA MARISCAL SUCRE,FISCAL,Intercultural,COSTA,Rural,Inicial/EGB/Bachillerato,100,2026,1,2026,4,11274.96,2026,4,5040,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,100,-79.501782209,-2.10920704324
441,Zona 5,09D17,GUAYAS,MILAGRO,ROBERTO ASTUDILLO (CAB. EN CRUCE DE VENECIA),Ordinario,09H04265,ESCUELA DE EDUCACION BASICA CARLOS BENJAMIN ROSALES,FISCAL,Intercultural,COSTA,Rural,Inicial/EGB,25,2026,1,2026,1,2818.74,2026,1,1260,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.5188701719,-2.14849321248
442,Zona 5,09D17,GUAYAS,MILAGRO,ROBERTO ASTUDILLO (CAB. EN CRUCE DE VENECIA),Ordinario,09H04266,ESCUELA DE EDUCACION BASICA JUDITH ACUÑA DE ROBLES,FISCAL,Intercultural,COSTA,Rural,Inicial/EGB,116,2026,1,2026,5,14093.7,2026,5,6300,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.5178649813,-2.18374631056
443,Zona 5,09D12,GUAYAS,NARANJAL,NARANJAL,Ordinario,09H04279,ESCUELA DE EDUCACION BASICA CUCALON LASSO,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,156,2026,1,2026,5,14093.7,2026,5,6300,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,10 m x 20 m = 200 metros cuadrados ,-79.6140352278,-2.67749616707
444,Zona 5,09D12,GUAYAS,NARANJAL,NARANJAL,Ordinario,09H04281,ESCUELA DE EDUCACION BASICA CARMEN MORA DE ENCALADA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,137,2026,1,2026,4,11274.96,2026,4,5040,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,es de 25por 10 metros cuadrados,-79.6127617209,-2.67427489198
445,Zona 5,09D12,GUAYAS,NARANJAL,NARANJAL,Ordinario,09H04284,ESCUELA DE EDUCACION BASICA NUEVE DE OCTUBRE,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,55,2026,1,2026,3,8456.22,2026,3,3780,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.706953871,-2.80209082789
446,Zona 5,09D12,GUAYAS,NARANJAL,NARANJAL,Ordinario,09H04296,ESCUELA DE EDUCACION BASICA GABRIELA MISTRAL,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,74,2026,1,2026,3,8456.22,2026,3,3780,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,4metros por 5 metros,-79.6223174802,-2.67849140225
447,Zona 5,09D12,GUAYAS,NARANJAL,NARANJAL,Ordinario,09H04297,ESCUELA DE EDUCACION BASICA ABDON CALDERON,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,168,2026,1,2026,5,14093.7,2026,5,6300,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,21 x 12= 252 metros cuadrados aproximadamente,-79.6226824659,-2.67380676596
448,Zona 5,09D12,GUAYAS,NARANJAL,NARANJAL,Ordinario,09H04301,ESCUELA DE EDUCACION BASICA MARIANO UNDA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,141,2026,1,2026,5,14093.7,2026,5,6300,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,262.5 metros cuadrados ,-79.6216830168,-2.67481862135
449,Zona 5,09D12,GUAYAS,NARANJAL,JESUS MARIA,Ordinario,09H04326,ESCUELA DE EDUCACION BASICA 24 DE JULIO,FISCAL,Intercultural,COSTA,Rural,Inicial/EGB,19,2026,1,2026,2,5637.48,2026,2,2520,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,"7 METROS POR 7METROS , PERO HAY MAS ESPACIO DETRAS DEL AULA . PARA ADECUAR JUEGOS RECREATIVOS. ",-79.5535425355,-2.56056536702
450,Zona 5,09D12,GUAYAS,NARANJAL,SANTA ROSA DE FLANDES,Ordinario,09H04346,ESCUELA DE EDUCACION BASICA CARLOS JULIO AROSEMENA TOLA,FISCAL,Intercultural,COSTA,Rural,Inicial/EGB,91,2026,1,2026,3,8456.22,2026,3,3780,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.6023683798,-2.59859739321
451,Zona 5,09D12,GUAYAS,NARANJAL,TAURA,Ordinario,09H04350,UNIDAD EDUCATIVA NARANJAL,FISCAL,Intercultural,COSTA,Rural,Inicial/EGB/Bachillerato,47,2026,1,2026,2,5637.48,2026,2,2520,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,"22,70m x 10,60m= 333 metros cuadrados.",-79.6265840827,-2.384802243
452,Zona 5,09D12,GUAYAS,NARANJAL,TAURA,Ordinario,09H04360,ESCUELA DE EDUCACION BASICA ARTURO SERRANO ARMIJOS,FISCAL,Intercultural,COSTA,Rural,Inicial/EGB,55,2026,1,2026,2,5637.48,2026,2,2520,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,15m x 8,-79.7324154911,-2.31104337239
453,Zona 5,09D18,GUAYAS,NARANJITO,NARANJITO,Ordinario,09H04395,UNIDAD EDUCATIVA ISMAEL PEREZ PAZMIÑO,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB/Bachillerato,74,2026,1,2026,3,8456.22,2026,3,3780,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.4595325459,-2.17067314415
454,Zona 5,09D18,GUAYAS,NARANJITO,NARANJITO,Ordinario,09H04422,ESCUELA DE EDUCACION BASICA CARLOS MATAMOROS JARA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,83,2026,1,2026,3,8456.22,2026,3,3780,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.4638308566,-2.16954705266
455,Zona 5,09D18,GUAYAS,NARANJITO,NARANJITO,Ordinario,09H04424,ESCUELA DE EDUCACION BASICA DRA LUISA MARTIN GONZALEZ,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,84,2026,1,2026,4,11274.96,2026,4,5040,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.4628031481,-2.17237674803
456,Zona 5,12D02,LOS RIOS,PUEBLOVIEJO,SAN JUAN,Ordinario,12H00656,ESCUELA DE EDUCACION BASICA NUEVO SAN JUAN,FISCAL,Intercultural,COSTA,Rural,Inicial y EGB,91,2026,1,2026,3,8456.22,2026,3,3780,,0.0,0.0,ML_Mo,,,,-79.5574516616,-1.63045280794
457,Zona 5,09D14,GUAYAS,PEDRO CARBO,PEDRO CARBO,Ordinario,09H04499,ESCUELA DE EDUCACION BASICA DIECINUEVE DE JULIO,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,84,2026,1,2026,3,8456.22,2026,3,3780,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,15x29,-80.2364354781,-1.81066105565
458,Zona 5,12D06,LOS RIOS,VALENCIA,VALENCIA,Ordinario,12H01821,EL VERGEL,FISCAL,Intercultural,COSTA,Urbana,Inicial y EGB,101,2026,1,2026,4,11274.96,2026,4,5040,,0.0,0.0,ML_Mo,,,,-79.3543262252,-0.79772263422
459,Zona 5,09D14,GUAYAS,PEDRO CARBO,PEDRO CARBO,Ordinario,09H04571,ESCUELA DE EDUCACION BASICA ELENA RODRIGUEZ SOTOMAYOR,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,31,2026,1,2026,2,5637.48,2026,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-80.2525764747,-1.71242332885
460,Zona 5,09D14,GUAYAS,PEDRO CARBO,PEDRO CARBO,Ordinario,09H04579,ESCUELA DE EDUCACION BASICA JUAN MODESTO CARBO NOBOA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,54,2026,1,2026,2,5637.48,2026,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-80.2329804789,-1.81703730612
461,Zona 5,09D14,GUAYAS,PEDRO CARBO,PEDRO CARBO,Ordinario,09H04582,UNIDAD EDUCATIVA DR CARLOS MONTEVERDE ROMERO,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB/Bachillerato,119,2026,1,2026,4,11274.96,2026,4,5040,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,25 por 25 metros cuadrados ,-80.2355154681,-1.81778019301
462,Zona 8,09D01,GUAYAS,GUAYAQUIL,XIMENA,Ordinario,09H04585,ESCUELA DE EDUCACION BASICA COMPLETA FISCAL NELSON MATEUS MACIAS,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,62,2026,1,2026,3,8456.22,2026,3,3780,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.8836007831,-2.24610924955
463,Zona 5,12D02,LOS RIOS,PUEBLOVIEJO,SAN JUAN,Ordinario,12H00686,UNIDAD EDUCATIVA LEON DE FEBRES CORDERO,FISCAL,Intercultural,COSTA,Rural,"Inicial, Educacion Basica y Bachillerato",87,2026,1,2026,3,8456.22,2026,3,3780,,0.0,0.0,ML_Mo,,,,-79.5603682681,-1.62388869617
464,Zona 8,09D23,GUAYAS,SAMBORONDON,TARIFA,Ordinario,09H04676,ESCUELA DE EDUCACION BASICA FISCAL 26 DE JUNIO,FISCAL,Intercultural,COSTA,Rural,Inicial/EGB,46,2026,1,2026,2,5637.48,2026,2,2520,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,9 metro x 6 metros,-79.8530681529,-2.0778304704
465,Zona 6,03D02,CAÑAR,CAÑAR,HONORATO VASQUEZ (TAMBO VIEJO),Ordinario,03H00407,UNIDAD EDUCATIVA SAN RAFAEL DE HONORATO VASQUEZ,FISCAL,Intercultural,SIERRA,Rural,"Inicial, Educacion Basica y Bachillerato",18,2026,1,2026,2,5637.48,2026,2,2520,2026.0,1.0,4944.0,ML_Mo_JE,,,20 x 20 metros cuadrados ,-78.9208888937,-2.55827780505
466,Zona 8,09D23,GUAYAS,SAMBORONDON,TARIFA,Ordinario,09H04704,UNIDAD EDUCATIVA FISCAL OSWALDO GUAYASAMIN,FISCAL,Intercultural,COSTA,Rural,Inicial/EGB/Bachillerato,47,2026,1,2026,2,5637.48,2026,2,2520,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,10X20,-79.7620863281,-1.99043115677
467,Zona 8,09D23,GUAYAS,SAMBORONDON,TARIFA,Ordinario,09H04712,ESCUELA DE EDUCACION BASICA FISCAL 27 DE AGOSTO,FISCAL,Intercultural,COSTA,Rural,Inicial/EGB,26,2026,1,2026,2,5637.48,2026,2,2520,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,15 m x 7m,-79.8131944139,-1.98488893584
468,Zona 4,13D01,MANABI,PORTOVIEJO,CRUCITA,Ordinario,13H00586,UNIDAD EDUCATIVA FELIPE SAUL MORALES,FISCAL,Intercultural,COSTA,Rural,Inicial y EGB,86,2026,1,2026,4,11274.96,2026,4,5040,,0.0,0.0,ML_Mo,,,,-80.533194444,-0.858305552503
469,Zona 5,09D19,GUAYAS,SANTA LUCIA,SANTA LUCIA,Ordinario,09H04772,ESCUELA DE EDUCACION BASICA MARIETA DE VEINTIMILLA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,47,2026,1,2026,2,5637.48,2026,2,2520,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,300 metros cuadrados exteriores,-80.007208569,-1.77042191033
470,Zona 5,09D19,GUAYAS,SANTA LUCIA,SANTA LUCIA,Ordinario,09H04773,UNIDAD EDUCATIVA ENRIQUE LOPEZ LASCANO,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB/Bachillerato,99,2026,1,2026,4,11274.96,2026,4,5040,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.9832638814,-1.73024551386
471,Zona 5,09D19,GUAYAS,SANTA LUCIA,SANTA LUCIA,Ordinario,09H04780,ESCUELA DE EDUCACION BASICA MARIA PIEDAD CASTILLO DE LEVI,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,42,2026,1,2026,2,5637.48,2026,2,2520,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,160 metros cuadrados ,-80.0076436691,-1.74659533728
472,Zona 5,09D19,GUAYAS,SANTA LUCIA,SANTA LUCIA,Ordinario,09H04782,ESCUELA DE EDUCACION BASICA UBALDO URQUIZO VILLENA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,52,2026,1,2026,2,5637.48,2026,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.98152129,-1.71075088425
473,Zona 5,09D19,GUAYAS,SANTA LUCIA,SANTA LUCIA,Ordinario,09H04794,ESCUELA DE EDUCACION BASICA NICOLAS SEGOVIA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,45,2026,1,2026,2,5637.48,2026,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.8993582959,-1.72969185247
474,Zona 5,09D19,GUAYAS,SANTA LUCIA,SANTA LUCIA,Ordinario,09H04795,ESCUELA DE EDUCACION BASICA SIXTO LIBORIO MACIAS,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,45,2026,1,2026,2,5637.48,2026,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-80.0185955671,-1.70643733838
475,Zona 5,09D19,GUAYAS,SANTA LUCIA,SANTA LUCIA,Ordinario,09H04802,ESCUELA DE EDUCACION BASICA CARCHI MACARA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,59,2026,1,2026,2,5637.48,2026,2,2520,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,40 METROS CUADRADO,-80.0292694737,-1.7526312865
476,Zona 5,09D20,GUAYAS,SALITRE,BOCANA,Ordinario,09H04825,ESCUELA DE EDUCACION BASICA RAFAEL MORAN VALVERDE,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,59,2026,1,2026,3,8456.22,2026,3,3780,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.8095765964,-1.8296366979
477,Zona 5,09D20,GUAYAS,SALITRE,BOCANA,Ordinario,09H04841,ESCUELA DE EDUCACION BASICA FRANCISCO IÑIGUEZ CASTRO,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,89,2026,1,2026,4,11274.96,2026,4,5040,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,12.8 x 27 m,-79.8138365959,-1.82986078409
478,Zona 5,09D20,GUAYAS,SALITRE,BOCANA,Ordinario,09H04860,UNIDAD EDUCATIVA 27 DE NOVIEMBRE,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB/Bachillerato,26,2026,1,2026,2,5637.48,2026,2,2520,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,12X7,-79.831316384,-1.83554465366
479,Zona 5,09D20,GUAYAS,SALITRE,GENERAL VERNAZA (DOS ESTEROS),Ordinario,09H04873,UNIDAD EDUCATIVA ZENON VELEZ VITERI,FISCAL,Intercultural,COSTA,Rural,Inicial/EGB/Bachillerato,46,2026,1,2026,2,5637.48,2026,2,2520,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,LA DIMENSION DEL ESPACIO QUE DISPONE LA INSTITUCION ES LA SIGUIENTE DE LARGO TIENE 34 METROS Y DE ANCHO TIENE 20 METROS EN TOTAL TIENE 680 METROS CUADRADO,-79.7566188873,-1.81295860282
480,Zona 5,09D20,GUAYAS,SALITRE,GENERAL VERNAZA (DOS ESTEROS),Ordinario,09H04874,ESCUELA DE EDUCACION BASICA 9 DE OCTUBRE,FISCAL,Intercultural,COSTA,Rural,Inicial/EGB,84,2026,1,2026,4,11274.96,2026,4,5040,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,18x15,-79.790748714,-1.76393299402
481,Zona 5,09D20,GUAYAS,SALITRE,LA VICTORIA (ÑAUZA),Ordinario,09H04904,ESCUELA DE EDUCACION BASICA JOSE MEJIA LEQUERICA,FISCAL,Intercultural,COSTA,Rural,Inicial/EGB,39,2026,1,2026,2,5637.48,2026,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.7413490996,-1.84618801304
482,Zona 5,12D02,LOS RIOS,URDANETA,RICAURTE,Ordinario,12H01025,ESCUELA DE EDUCACION BASICA GABRIEL GARCIA MORENO,FISCAL,Intercultural,COSTA,Rural,Inicial y EGB,63,2026,1,2026,2,5637.48,2026,2,2520,2026.0,1.0,4944.0,ML_Mo_JE,,,100 m2,-79.4690977936,-1.56920451073
483,Zona 5,09D21,GUAYAS,SAN JACINTO DE YAGUACHI,SAN JACINTO DE YAGUACHI,Ordinario,09H04968,ESCUELA DE EDUCACION BASICA LICENCIADA MARY FRECIA RODRIGUEZ ALVARADO,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,67,2026,1,2026,3,8456.22,2026,3,3780,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.6921028508,-2.09784750041
484,Zona 5,09D11,GUAYAS,SIMON BOLIVAR,CORONEL LORENZO DE GARAYCOA (PEDREGAL),Ordinario,09H04987,ESCUELA DE EDUCACION BASICA AGUSTIN ALBERTO FREIRE ICAZA,FISCAL,Intercultural,COSTA,Rural,Inicial/EGB,97,2026,1,2026,4,11274.96,2026,4,5040,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.4309711263,-2.06415304904
485,Zona 5,09D11,GUAYAS,SIMON BOLIVAR,CORONEL LORENZO DE GARAYCOA (PEDREGAL),Ordinario,09H04995,ESCUELA DE EDUCACION BASICA RAFAEL  ENRIQUE SOTO MAGALLANES,FISCAL,Intercultural,COSTA,Rural,Inicial/EGB,50,2026,1,2026,2,5637.48,2026,2,2520,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,15metros largo x 10 de ancho,-79.3466455025,-2.06422083651
486,Zona 5,09D21,GUAYAS,SAN JACINTO DE YAGUACHI,GENERAL PEDRO J. MONTERO (BOLICHE),Ordinario,09H05008,ESCUELA DE EDUCACION BASICA GENERAL PEDRO J MONTERO,FISCAL,Intercultural,COSTA,Rural,Inicial/EGB,49,2026,1,2026,2,5637.48,2026,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.6268977624,-2.25538397818
487,Zona 5,09D21,GUAYAS,SAN JACINTO DE YAGUACHI,YAGUACHI VIEJO (CONE),Ordinario,09H05019,ESCUELA DE EDUCACION BASICA CARLOS ALBERTO FLORES,FISCAL,Intercultural,COSTA,Rural,Inicial/EGB,20,2026,1,2026,2,5637.48,2026,2,2520,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,20 metros (largo) x 15 metros (ancho)   ,-79.6879278076,-2.14468704324
488,Zona 5,09D21,GUAYAS,SAN JACINTO DE YAGUACHI,YAGUACHI VIEJO (CONE),Ordinario,09H05023,UNIDAD EDUCATIVA 19 DE AGOSTO,FISCAL,Intercultural,COSTA,Rural,Inicial/EGB/Bachillerato,53,2026,1,2026,2,5637.48,2026,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.6480069038,-2.16822247079
489,Zona 5,12D05,LOS RIOS,VINCES,ANTONIO SOTOMAYOR (CAB. EN PLAYAS DE VINCES),Ordinario,12H01433,ESCUELA DE EDUCACION BASICA AMADO VARGAS NIVELA,FISCAL,Intercultural,COSTA,Rural,Inicial y EGB,39,2026,1,2026,2,5637.48,2026,2,2520,,0.0,0.0,ML_Mo,,,,-79.825517766,-1.67791711441
490,Zona 5,09D21,GUAYAS,SAN JACINTO DE YAGUACHI,VIRGEN DE FATIMA,Ordinario,09H05031,ESCUELA DE EDUCACION BASICA MANUEL SOTOMAYOR LUNA,FISCAL,Intercultural,COSTA,Rural,Inicial/EGB,108,2026,1,2026,4,11274.96,2026,4,5040,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.6389965974,-2.24912749238
491,Zona 5,09D21,GUAYAS,SAN JACINTO DE YAGUACHI,VIRGEN DE FATIMA,Ordinario,09H05033,UNIDAD EDUCATIVA ELOY ALFARO,FISCAL,Intercultural,COSTA,Rural,Inicial/EGB/Bachillerato,59,2026,1,2026,2,5637.48,2026,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.6462177589,-2.24770519446
492,Zona 5,09D21,GUAYAS,SAN JACINTO DE YAGUACHI,GENERAL PEDRO J. MONTERO (BOLICHE),Ordinario,09H05034,ESCUELA DE EDUCACION BASICA ERNESTO JOUVIN CISNEROS,FISCAL,Intercultural,COSTA,Rural,Inicial/EGB,41,2026,1,2026,2,5637.48,2026,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.6274545812,-2.25605380446
493,Zona 5,12D05,LOS RIOS,VINCES,ANTONIO SOTOMAYOR (CAB. EN PLAYAS DE VINCES),Ordinario,12H01420,ESCUELA DE EDUCACION BASICA FEDERICO PROAÑO MARQUEZ,FISCAL,Intercultural,COSTA,Rural,Inicial y EGB,27,2026,1,2026,2,5637.48,2026,2,2520,,0.0,0.0,ML_Mo,,,,-79.8288339039,-1.66664247431
494,Zona 5,12D02,LOS RIOS,URDANETA,RICAURTE,Ordinario,12H01062,UNIDAD EDUCATIVA RICAURTE,FISCAL,Intercultural,COSTA,Rural,"Inicial, Educacion Basica y Bachillerato",63,2026,1,2026,2,5637.48,2026,2,2520,2026.0,1.0,4944.0,ML_Mo_JE,,,"LARGO 12 METROS,  ANCHO 7 , METROS CUADRADO 84   ",-79.4675354218,-1.56735838489
495,Zona 5,09D22,GUAYAS,PLAYAS,GENERAL VILLAMIL (PLAYAS),Ordinario,09H05058,ESCUELA DE EDUCACION BASICA ENRIQUE CAMILO,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,44,2026,1,2026,2,5637.48,2026,2,2520,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,"10 METROS DE LARGO, 5 METROS DE ANCHO, 50 METROS CUADRADOS",-80.3852328743,-2.62870729562
496,Zona 5,09D22,GUAYAS,PLAYAS,GENERAL VILLAMIL (PLAYAS),Ordinario,09H05098,UNIDAD EDUCATIVA CARLOS MATAMOROS JARA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB/Bachillerato,51,2026,1,2026,2,5637.48,2026,2,2520,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,9X8M2,-80.4880306852,-2.57469950065
497,Zona 5,09D11,GUAYAS,SIMON BOLIVAR,SIMON BOLIVAR,Ordinario,09H05116,UNIDAD EDUCATIVA  ALFONSO REYES FALCON,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,61,2026,1,2026,2,5637.48,2026,2,2520,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,15X10,-79.48940622,-2.00101925079
498,Zona 5,09D11,GUAYAS,SIMON BOLIVAR,SIMON BOLIVAR,Ordinario,09H05118,UNIDAD EDUCATIVA DOCTOR ANTONIO PARRA VELASCO,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB/Bachillerato,149,2026,1,2026,5,14093.7,2026,5,6300,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,10 metros de ancho por 6 de largo,-79.4898524342,-2.00455588647
499,Zona 5,09D19,GUAYAS,NOBOL,NARCISA DE JESUS,Ordinario,09H05150,ESCUELA DE EDUCACION BASICA HEROES DEL CENEPA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,48,2026,1,2026,2,5637.48,2026,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-80.0097366218,-1.91341121533
500,Zona 5,09D19,GUAYAS,NOBOL,NARCISA DE JESUS,Ordinario,09H05160,ESCUELA DE EDUCACION BASICA 6 DE AGOSTO,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,25,2026,1,2026,1,2818.74,2026,1,1260,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,120 m²,-80.0042595094,-1.97809480422
501,Zona 5,09D19,GUAYAS,NOBOL,NARCISA DE JESUS,Ordinario,09H05161,ESCUELA DE EDUCACION BASICA RAQUEL NARANJO GALAN,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,82,2026,1,2026,3,8456.22,2026,3,3780,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,15x20,-80.0126173367,-1.96885496239
502,Zona 5,09D19,GUAYAS,NOBOL,NARCISA DE JESUS,Ordinario,09H05164,ESCUELA DE EDUCACION BASICA CORINA PARRAL DE VELASCO IBARRA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,180,2026,1,2026,8,22549.92,2026,8,10080,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-80.0102033172,-1.91481359401
503,Zona 5,09D19,GUAYAS,NOBOL,NARCISA DE JESUS,Ordinario,09H05168,ESCUELA DE EDUCACION BASICA INDEPENDENCIA DEL ECUADOR,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,52,2026,1,2026,2,5637.48,2026,2,2520,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,10x6,-80.0381828294,-1.87989422055
504,Zona 5,09D19,GUAYAS,NOBOL,NARCISA DE JESUS,Ordinario,09H05169,ESCUELA DE EDUCACION BASICA ADRIANA FUENTES,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,101,2026,1,2026,4,11274.96,2026,4,5040,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,14x 22,-80.0128177431,-1.91791784167
505,Zona 5,09D14,GUAYAS,ISIDRO AYORA,ISIDRO AYORA,Ordinario,09H05205,ESCUELA DE EDUCACION BASICA JACINTO FRANCISCO GONZALEZ HUACON,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,41,2026,1,2026,2,5637.48,2026,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-80.1515469467,-1.9452941578
