zona,distrito,provincia,canton,parroquia,tipo_educacion,amie,institucion,sostenimiento,jurisdiccion,regimen,zona_inec,nivel_educacion,nro_niños_iniciales,aux_año_dotacion,aux_t_ie,md_año_dotacion,md_paralelos,md_monto_usd,m_año_dotacion,m_tipo_ambiente,m_monto_usd,je_año_dotacion,je_cantidad,je_monto_usd,aux_ie_material,latitud,longitud
8,09D07,GUAYAS,GUAYAQUIL,PASCUALES,Ordinario,09H00928,UNIDAD EDUCATIVA FISCAL EDUARDO KINGMAN RIOFRIO,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB/Bachillerato,25,2026,1,2026,1,2918.26,2026,1,1528.0,2026,1,5748.0,ML_Mo_JE,-2.073431783,-79.92905031
8,09D07,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H00929,ESCUELA DE EDUCACION BASICA FISCAL CACIQUE TOMALA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,49,2026,1,2026,2,5836.52,2026,2,3056.0,2026,1,5748.0,ML_Mo_JE,-2.106328512,-79.93001075
8,09D08,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H00947,ESCUELA DE EDUCACION BASICA FISCAL  ROMMEL MOSQUERA JURADO,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,97,2026,1,2026,4,11673.04,2026,4,6112.0,2026,1,5748.0,ML_Mo_JE,-2.127226736,-79.95464913
8,09D06,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H00958,ESCUELA DE EDUCACION BASICA FISCAL JORGE ENRIQUE ADOUM,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,110,2026,1,2026,4,11673.04,2026,4,6112.0,0,0,0.0,ML_Mo,-2.129456999,-79.92194998
8,09D08,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H00971,ESCUELA DE EDUCACION BASICA FISCAL  REMIGIO ROMERO Y CORDERO,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,93,2026,1,2026,4,11673.04,2026,4,6112.0,0,0,0.0,ML_Mo,-2.100001136,-79.96287249
8,09D07,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H00984,ESCUELA DE EDUCACION FISCAL LUIS ALBERTO CHIRIBOGA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,107,2026,1,2026,4,11673.04,2026,4,6112.0,0,0,0.0,ML_Mo,-2.101786383,-79.92455827
8,09D08,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H00991,ESCUELA DE EDUCACION BASICA FISCAL BLANCA GARCIA PLAZA DE ARIAS,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,74,2026,1,2026,3,8754.78,2026,3,4584.0,0,0,0.0,ML_Mo,-2.122010734,-79.96267466
8,09D07,GUAYAS,GUAYAQUIL,PASCUALES,Ordinario,09H01008,UNIDAD EDUCATIVA FISCAL SARAH FLOR JIMENEZ,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB/Bachillerato,118,2026,1,2026,4,11673.04,2026,4,6112.0,2026,1,5748.0,ML_Mo_JE,-2.078725848,-79.91225726
8,09D06,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01013,ESCUELLA DE EDUCACION BASICA FISCAL AMARILIS FUENTES ALCIVAR,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,25,2026,1,2026,1,2918.26,2026,1,1528.0,2026,1,5748.0,ML_Mo_JE,-2.124663981,-79.924221
8,09D06,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01032,ESCUELA DE EDUCACION BASICA FISCAL HUMBERTO GARCIA ORTIZ,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,50,2026,1,2026,2,5836.52,2026,2,3056.0,0,0,0.0,ML_Mo,-2.117798996,-79.92393704
